chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
00830d0e,40137,0.164267129,5682,34590,0.000553863,24,43332,1805.5,0.000577834,25,43265,1730.6,0.001063215,46,43265,940.5434783,5090,0.37,0.41,0.199805424,4929,24669,0.079277039,829,10457,0.000832081,36,43265,1201.805556
00888aef,06063,0.069043152,920,13325,0.000853698,16,18742,1171.375,0.000904063,17,18804,1106.117647,0.002818549,53,18804,354.7924528,3349,0.36,0.23,0.07965122,813,10207,0.036019536,118,3276,0.000425441,8,18804,2350.5
00a182bc,13057,0.128374504,27538,214513,0.000387764,96,247573,2578.885417,0.000480033,122,254149,2083.188525,0.000881373,224,254149,1134.59375,4084,0.38,0.48,0.154421085,23512,152259,0.069164794,4524,65409,0.000523315,133,254149,1910.894737
00ab33b9,17083,0.050440631,870,17248,0.000410191,9,21941,2437.888889,0.000457729,10,21847,2184.7,0.000686593,15,21847,1456.466667,6972,0.42,0.4,0.060665057,779,12841,0.022459893,105,4675,0.000503502,11,21847,1986.090909
00b82643,13251,0.161801043,1768,10927,0.000143338,2,13953,6976.5,0.000215239,3,13938,4646,0.000358732,5,13938,2787.6,4887,0.3,0.29,0.192237052,1570,8167,0.074086837,215,2902,0.000430478,6,13938,2323
00ce2292,04027,0.14199481,22653,159534,0.000472212,98,207534,2117.693878,0.000287562,61,212128,3477.508197,0.000565696,120,212128,1767.733333,3604,0.37,0.39,0.176579222,19123,108297,0.072889647,3934,53972,0.000730691,155,212128,1368.567742
00da2e37,28069,0.201383884,1397,6937,0.000101184,1,9883,9883,0.000199462,2,10027,5013.5,NULL,0,10027,NULL,6894,0.46,0.31,0.248778581,1273,5117,0.070030896,136,1942,0.000398923,4,10027,2506.75
00e1d435,31083,0.097791798,248,2536,0.000871333,3,3443,1147.666667,0.000294031,1,3401,3401,NULL,0,3401,NULL,2529,0.47,0.28,0.110005528,199,1809,0.069767442,54,774,0.000882094,3,3401,1133.666667
00eefeaf,21059,0.05611502,4586,81725,0.000528025,53,100374,1893.849057,0.000603339,61,101104,1657.442623,0.002789207,282,101104,358.5248227,4116,0.5,0.51,0.066543182,3844,57767,0.032386567,813,25103,0.001503402,152,101104,665.1578947
00f75f61,51157,0.141282003,756,5351,0.00040978,3,7321,2440.333333,0.000275786,2,7252,3626,0.001103144,8,7252,906.5,4669,0.34,0.46,0.154594069,636,4114,0.099242424,131,1320,NULL,0,7252,NULL
